CandidateID,Designation,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Previous Industry worked with [before joining Piramal],Name of your Previous Organization / Company,How many Organization that you have worked before joining Piramal Finance ?,Average Incentive [per month] earned in your pervious company ?,How did you come to know about the role at Piramal Finance ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,DOJ,Location Code,Residential Pincode,Branch Pincode,Performance
EMP0625,DST,Full Time,Graduate,9,Banking,IDFC FIRST BANK,03-May,Above 10K,Referral,Car Loans / Used Car Loans;Housing Loans;,INR 5L - INR 15L,5 & Above members,2,3,Sales,03-10-22,2241,110054,110055,0
EMP0665,DST,Full Time,Post Graduate,6,Banking,Mama Fincorp,03-May,Above 10K,Consultant / Partners,Car Loans / Used Car Loans;Others;,INR 5L - INR 15L,3 - 4 members,1,2,Affordable Housing,26-05-22,6264,173205,273001,1
EMP0754,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,1 - 2 members,,4,Mass Affluent Housing,19-12-22,6166,401209,401202,0
EMP0533,DST,Full Time,Post Graduate,1,NBFC,Hdb financial services pvt ltd,01-Feb,3K-7K,Advertisement / Job Portal,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,5 & Above members,1,1,Secured Business Loan,19-05-22,2241,110086,110055,0
EMP0427,DST,Full Time,Graduate,3,NBFC,Laxmi india finance ltd,03-May,3K-7K,Consultant / Partners,Others;,INR 15L and above,5 & Above members,10000,5,Affordable Housing,15-12-22,6116,384255,384002,0
EMP0054,DST,Full Time,Graduate,6,others,fourrts india pvt,01-Feb,3K-7K,others,Others;,Fresher,5 & Above members,6,5,Affordable Housing,09-03-23,6032,606611,606601,0
EMP0208,DST,Full Time,Under Graduate,7,NBFC,1 year 6 month ,5+,3K-7K,Referral,MSME / SME Loans;,INR 50K - INR 2L,5 & Above members,2,0,Sales,15-12-22,6040,632106,623006,0
EMP0594,DST,Part Time,Graduate,6,Banking,Bandhan Bank ,03-May,Above 10K,Referral,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,1 - 2 members,2,1,Affordable Housing,05-01-23,6286,151001,151001,0
EMP0249,DST,Full Time,Post Graduate,2,NBFC,IDFC FIRST BANK ,01-Feb,Above 10K,Consultant / Partners,Others;,INR 50K - INR 2L,3 - 4 members,3,2,Affordable Housing,02-03-23,6055,629851,629001,0
EMP0729,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,Above 10K,Referral,Housing Loan,INR 5L - INR 10L,5 & Above members,,1,Affordable Housing,15-12-23,6297,110040,110050,1
EMP0708,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,Less than 3K,External consultant,Housing Loan,INR 10L and above,3 - 4 members,,4,Mass Affluent Housing,17-10-22,6326,500055,500014,0
EMP0686,DST,Full Time,Post Graduate,7,NBFC,Mahindra and Mahindra financial services,01-Feb,3K-7K,Consultant / Partners,Others;Car Loans / Used Car Loans;,INR 15L and above,5 & Above members,2,4,Mass Affluent Housing,18-08-22,6326,500085,500014,0
EMP0199,DST,Full Time,Graduate,6,NBFC,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LTD,5+,3K-7K,Referral,Car Loans / Used Car Loans;,INR 5L - INR 15L,5 & Above members,2,4,Sales,03-01-22,6040,606903,623006,1
EMP0572,DST,Full Time,Graduate,0,Others,Na,0 / Fresher,Nil,Consultant / Partners,Others;Current / Saving account [CASA];,Fresher,5 & Above members,1,3,Affordable Housing,09-03-23,6215,781319,781007,0
EMP0069,DST,Full Time,Graduate,3,NBFC,Indiabulls ,01-Feb,Above 10K,Referral,Personal Loans;, INR 2L - INR 5L,3 - 4 members,2,1,Mass Affluent Housing,16-05-22,6261,208011,208001,1
EMP0828,DST,Full Time,Graduate,3.166666667,Others,,03-May,3K-7K,Referral,Housing Loan,INR 10L and above,3 - 4 members,,3,Mass Affluent Housing,27-02-23,6306,201001,201002,0
EMP0387,DST,Full Time,Post Graduate,7,Insurance,Future Generali India Life Insurance Company Ltd,03-May,7K-10K,Advertisement / Job Portal,Others;,Fresher,5 & Above members,1,4,Mass Affluent Housing,05-05-22,6263,221108,221010,0
EMP0055,DST,Full Time,Post Graduate,10,Insurance,Maxlife insurance ,03-May,Above 10K,Referral,Housing Loans;,INR 15L and above,3 - 4 members,1,0,Mass Affluent Housing,21-09-23,6246,248001,248001,1
EMP0628,DST,Full Time,Graduate,5,NBFC,Shriram City union finance Ltd & Bajaj finance ,01-Feb,7K-10K,Referral,Personal Loans;Others;, INR 2L - INR 5L,3 - 4 members,1,2,Sales,01-12-22,6085,572104,572102,0
EMP0923,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,Above 10K,Referral,Loan Against Property/ Secured Business Loan,INR 10L and above,5 & Above members,,4,Secured Business Loan,28-04-22,6083,560079,560069,1
EMP0662,DST,Full Time,Post Graduate,4,NBFC,Indiabulls Housing Finance Limited ,01-Feb,3K-7K,Referral,Housing Loans;MSME / SME Loans;,INR 15L and above,1 - 2 members,1,0,Mass Affluent Housing,18-05-23,6420,501301,502032,0
EMP0524,DST,Full Time,Post Graduate,4.7,Banking,Icici bank ltd ,01-Feb,Above 10K,Advertisement / Job Portal,Current / Saving account [CASA];Personal Loans;,INR 5L - INR 15L,5 & Above members,500000,2,Affordable Housing,04-05-23,6455,444907,445204,0
EMP0674,DST,Full Time,Graduate,5,Banking,IDFC BANK ,01-Feb,Above 10K,Referral,Others;Housing Loans;, INR 2L - INR 5L,3 - 4 members,1,1,Mass Affluent Housing,02-01-23,6019,506164,506001,0
EMP0811,DST,Full Time,Graduate,0,Others,,0 / Fresher,3K-7K,External consultant,Personal Loan,INR 10L and above,3 - 4 members,,2,Sales,19-01-24,6043,641039,641012,1
EMP0587,DST,Full Time,Post Graduate,5.5,NBFC,POONAWALLA HOUSING FINANCE LTD ,5+,3K-7K,Direct Application,MSME / SME Loans;Housing Loans;,INR 15L and above,5 & Above members,1,3,Secured Business Loan,29-05-23,6248,251002,250001,1
EMP0084,DST,Full Time,Graduate,5,NBFC,Aadhar Housing Finance ,5+,3K-7K,others,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,1 - 2 members,1,2,Affordable Housing,24-11-23,6455,445206,445204,1
EMP0301,DST,Full Time,Under Graduate,5,NBFC,Five-star business finance limited,01-Feb,Above 10K,Referral,MSME / SME Loans;, INR 2L - INR 5L,3 - 4 members,1,4,Mass Affluent Housing,10-11-22,6050,630001,630002,0
EMP0091,DST,Full Time,Post Graduate,4,NBFC,Veritas finance pvt ltd,03-May,3K-7K,Referral,Housing Loans;,INR 15L and above,3 - 4 members,2,4,Affordable Housing,15-12-23,6057,628213,628008,1
EMP0421,DST,Full Time,Post Graduate,3,Banking,HDFC,01-Feb,Above 10K,Advertisement / Job Portal,Housing Loans;,INR 15L and above,5 & Above members,3,1,Affordable Housing,11-10-21,6246,247001,248001,1
EMP0733,DST,,,,Others,,,Above 10K,External consultant,Housing Loan,INR 10L and above,3 - 4 members,,3,Mass Affluent Housing,17-10-22,6081,562149,560092,1
EMP0013,DST,Full Time,Graduate,1,others,Laxmi medicose,0 / Fresher,3K-7K,Direct Application,MSME / SME Loans;, INR 2L - INR 5L,3 - 4 members,0,4,Secured Business Loan,27-02-23,6272,132024,132001,0
EMP0222,DST,Full Time,Post Graduate,5,Banking,Hdfc bank ltd,01-Feb,3K-7K,Referral,Car Loans / Used Car Loans;,INR 50K - INR 2L,3 - 4 members,1,3,Sales,15-12-22,6058,638313,638011,0
